Time,Acceleration,Velocity,Position
8.00,-0.20,-0.00,-0.00
20.00,-0.20,-0.00,-0.00
31.00,-0.20,-0.00,-0.00
44.00,-0.21,-0.00,-0.00
56.00,-0.19,-0.00,-0.00
67.00,-0.20,-0.00,-0.00
80.00,-0.19,-0.00,-0.00
92.00,-0.19,-0.00,-0.00
103.00,-0.19,-0.00,-0.00
116.00,-0.18,-0.00,-0.00
128.00,-0.19,-0.00,-0.00
139.00,-0.19,-0.00,-0.00
152.00,-0.20,-0.00,-0.00
163.00,-0.20,-0.00,-0.00
175.00,-0.19,-0.00,-0.00
188.00,-0.19,-0.00,-0.00
199.00,-0.19,-0.00,-0.00
211.00,-0.19,-0.00,-0.00
224.00,-0.19,-0.00,-0.00
235.00,-0.19,-0.00,-0.00
247.00,-0.19,-0.00,-0.00
260.00,-0.20,-0.00,-0.00
272.00,-0.19,-0.00,-0.00
283.00,-0.19,-0.00,-0.00
296.00,-0.19,-0.00,-0.00
308.00,-0.18,-0.00,-0.00
319.00,-0.18,-0.00,-0.00
332.00,-0.18,-0.00,-0.00
344.00,-0.19,-0.00,-0.00
355.00,-0.19,-0.00,-0.00
368.00,-0.19,-0.00,-0.00
380.00,-0.19,-0.00,-0.00
391.00,-0.18,-0.00,-0.00
404.00,-0.18,-0.00,-0.00
416.00,-0.19,-0.00,-0.00
427.00,-0.18,-0.00,-0.00
440.00,-0.19,-0.00,-0.00
452.00,-0.19,-0.00,-0.00
463.00,-0.19,-0.00,-0.00
475.00,-0.19,-0.00,-0.00
488.00,-0.19,-0.00,-0.00
499.00,-0.18,-0.00,-0.00
511.00,-0.17,-0.00,-0.00
524.00,-0.18,-0.00,-0.00
535.00,-0.18,-0.00,-0.00
547.00,-0.19,-0.00,-0.00
560.00,-0.18,-0.00,-0.00
571.00,-0.19,-0.00,-0.00
583.00,-0.18,-0.00,-0.00
596.00,-0.18,-0.00,-0.00
607.00,-0.18,-0.00,-0.00
619.00,-0.19,-0.00,-0.00
632.00,-0.19,-0.00,-0.00
643.00,-0.19,-0.00,-0.00
655.00,-0.18,-0.00,-0.00
668.00,-0.19,-0.00,-0.00
680.00,-0.18,-0.00,-0.00
691.00,-0.18,-0.00,-0.00
704.00,-0.18,-0.00,-0.00
716.00,-0.18,-0.00,-0.00
727.00,-0.18,-0.00,-0.00
740.00,-0.18,-0.00,-0.00
752.00,-0.18,-0.00,-0.00
763.00,-0.17,-0.00,-0.00
775.00,-0.16,-0.00,-0.00
788.00,-0.17,-0.00,-0.00
799.00,-0.17,-0.00,-0.00
811.00,-0.17,-0.00,-0.00
824.00,-0.19,-0.00,-0.00
835.00,-0.18,-0.00,-0.00
847.00,-0.18,-0.00,-0.00
860.00,-0.18,-0.00,-0.00
871.00,-0.18,-0.00,-0.00
883.00,-0.17,-0.00,-0.00
896.00,-0.17,-0.00,-0.00
907.00,-0.17,-0.00,-0.00
920.00,-0.17,-0.00,-0.00
932.00,-0.17,-0.00,-0.00
943.00,-0.18,-0.00,-0.00
956.00,-0.18,-0.00,-0.00
967.00,-0.18,-0.00,-0.00
979.00,-0.18,-0.00,-0.00
992.00,-0.18,-0.00,-0.00
1003.00,-0.18,-0.00,-0.00
1016.00,-0.18,-0.00,-0.00
1028.00,-0.18,-0.00,-0.00
1039.00,-0.17,-0.00,-0.00
1052.00,-0.17,-0.00,-0.00
1064.00,-0.17,-0.00,-0.00
1075.00,-0.17,-0.00,-0.00
1088.00,-0.17,-0.00,-0.00
1099.00,-0.17,-0.00,-0.00
1112.00,-0.17,-0.00,-0.00
1124.00,-0.17,-0.00,-0.00
1135.00,-0.17,-0.00,-0.00
1148.00,-0.18,-0.00,-0.00
1159.00,-0.18,-0.00,-0.00
1172.00,-0.17,-0.00,-0.00
1184.00,-0.17,-0.00,-0.00
1195.00,-0.17,-0.00,-0.00
1208.00,-0.17,-0.00,-0.00
1220.00,-0.17,-0.00,-0.00
1231.00,-0.18,-0.00,-0.00
1244.00,-0.18,-0.00,-0.00
1255.00,-0.19,-0.00,-0.00
1268.00,-0.19,-0.00,-0.00
1279.00,-0.21,-0.00,-0.00
1292.00,-0.22,-0.00,-0.00
1304.00,-0.24,-0.00,-0.00
1315.00,-0.27,-0.00,-0.00
1328.00,-0.38,-0.00,-0.00
1340.00,-0.46,-0.00,-0.00
1351.00,-0.54,-0.00,-0.00
1364.00,-0.60,-0.00,-0.00
1375.00,-0.71,-0.00,-0.00
1388.00,-0.80,-0.00,-0.00
1400.00,-0.93,-0.00,-0.00
1411.00,-1.07,-0.00,-0.00
1424.00,-1.29,-0.00,-0.00
1435.00,-1.35,-0.00,-0.00
1447.00,-1.34,-0.00,-0.00
1460.00,-1.33,-0.00,-0.00
1471.00,-1.31,-0.00,-0.00
1484.00,-1.27,-0.00,-0.00
1496.00,-1.25,-0.00,-0.00
1507.00,-1.18,-0.00,-0.00
1520.00,-0.92,-0.00,-0.00
1531.00,-0.62,-0.00,-0.00
1544.00,-0.26,-0.00,-0.00
1556.00,0.02,-0.00,-0.00
1567.00,0.47,-0.00,-0.00
1580.00,0.62,-0.00,-0.00
1591.00,0.72,-0.00,-0.00
1604.00,0.72,-0.00,-0.00
1616.00,0.71,-0.00,-0.00
1627.00,0.66,-0.00,-0.00
1640.00,0.58,-0.00,-0.00
1651.00,0.52,-0.00,-0.00
1664.00,0.47,-0.00,-0.00
1676.00,0.53,-0.00,-0.00
1687.00,0.60,-0.00,-0.00
1700.00,0.65,-0.00,-0.00
1711.00,0.56,-0.00,-0.00
1724.00,0.50,-0.00,-0.00
1736.00,0.42,-0.00,-0.00
1747.00,0.34,-0.00,-0.00
1760.00,0.27,-0.00,-0.00
1771.00,0.20,-0.00,-0.00
1784.00,0.18,-0.00,-0.00
1796.00,0.18,-0.00,-0.00
1807.00,0.12,-0.00,-0.00
1820.00,0.08,-0.00,-0.00
1831.00,0.05,-0.00,-0.00
1844.00,0.01,-0.00,-0.00
1856.00,0.01,-0.00,-0.00
1867.00,0.00,-0.00,-0.00
1880.00,-0.00,-0.00,-0.00
1891.00,-0.01,-0.00,-0.00
1904.00,-0.01,-0.00,-0.00
1915.00,-0.02,-0.00,-0.00
1928.00,-0.03,-0.00,-0.00
1940.00,-0.03,-0.00,-0.00
1951.00,-0.04,-0.00,-0.00
1964.00,-0.05,-0.00,-0.00
1976.00,-0.07,-0.00,-0.00
1987.00,-0.07,-0.00,-0.00
2000.00,-0.07,-0.00,-0.00
2011.00,-0.07,-0.00,-0.00
2024.00,-0.06,-0.00,-0.00
2035.00,-0.04,-0.00,-0.00
2047.00,-0.03,-0.00,-0.00
2060.00,-0.03,-0.00,-0.00
2071.00,-0.04,-0.00,-0.00
2084.00,-0.03,-0.00,-0.00
2095.00,-0.04,-0.00,-0.00
2108.00,-0.04,-0.00,-0.00
2120.00,-0.05,-0.00,-0.00
2131.00,-0.06,-0.00,-0.00
2144.00,-0.06,-0.00,-0.00
2156.00,-0.05,-0.00,-0.00
2167.00,-0.04,-0.00,-0.00
2180.00,-0.04,-0.00,-0.00
2191.00,-0.04,-0.00,-0.00
2204.00,-0.05,-0.00,-0.00
2216.00,-0.04,-0.00,-0.00
2227.00,-0.05,-0.00,-0.00
2240.00,-0.04,-0.00,-0.00
2251.00,-0.05,-0.00,-0.00
2264.00,-0.06,-0.00,-0.00
2276.00,-0.07,-0.00,-0.01
2287.00,-0.07,-0.00,-0.01
2300.00,-0.07,-0.00,-0.01
2311.00,-0.07,-0.00,-0.01
2324.00,-0.08,-0.00,-0.01
2335.00,-0.08,-0.00,-0.01
2347.00,-0.07,-0.00,-0.01
2360.00,-0.07,-0.00,-0.01
2371.00,-0.06,-0.00,-0.01
2384.00,-0.07,-0.00,-0.01
2395.00,-0.06,-0.00,-0.01
2407.00,-0.05,-0.00,-0.01
2420.00,-0.05,-0.00,-0.01
2431.00,-0.05,-0.00,-0.01
2444.00,-0.05,-0.00,-0.01
2455.00,-0.06,-0.00,-0.01
2468.00,-0.06,-0.00,-0.01
2480.00,-0.04,-0.00,-0.01
2491.00,-0.04,-0.00,-0.01
2504.00,-0.05,-0.00,-0.01
2515.00,-0.06,-0.00,-0.01
2528.00,-0.07,-0.00,-0.01
2540.00,-0.08,-0.00,-0.01
2551.00,-0.07,-0.00,-0.01
2564.00,-0.08,-0.00,-0.01
2575.00,-0.07,-0.00,-0.01
2587.00,-0.06,-0.00,-0.01
2600.00,-0.06,-0.00,-0.01
2611.00,-0.06,-0.00,-0.01
2624.00,-0.06,-0.00,-0.01
2635.00,-0.06,-0.00,-0.01
2647.00,-0.06,-0.00,-0.01
2660.00,-0.05,-0.00,-0.01
2671.00,-0.05,-0.00,-0.01
2684.00,-0.07,-0.00,-0.01
2695.00,-0.07,-0.00,-0.01
2708.00,-0.06,-0.00,-0.01
2720.00,-0.06,-0.00,-0.01
2731.00,-0.05,-0.00,-0.01
2744.00,-0.04,-0.00,-0.01
2755.00,-0.04,-0.00,-0.01
2768.00,-0.05,-0.00,-0.01
2779.00,-0.05,-0.00,-0.01
2791.00,-0.06,-0.00,-0.01
2804.00,-0.06,-0.00,-0.01
2815.00,-0.05,-0.00,-0.01
2828.00,-0.05,-0.00,-0.01
2839.00,-0.05,-0.00,-0.01
2851.00,-0.05,-0.00,-0.01
2864.00,-0.06,-0.00,-0.01
2875.00,-0.06,-0.00,-0.01
2888.00,-0.07,-0.00,-0.01
2899.00,-0.06,-0.00,-0.01
2912.00,-0.05,-0.00,-0.01
2924.00,-0.06,-0.00,-0.01
2935.00,-0.05,-0.00,-0.01
2948.00,-0.06,-0.00,-0.01
2959.00,-0.05,-0.00,-0.01
2971.00,-0.05,-0.00,-0.01
2984.00,-0.05,-0.00,-0.01
2995.00,-0.05,-0.00,-0.01
3008.00,-0.05,-0.00,-0.01
3020.00,-0.05,-0.00,-0.01
3031.00,-0.04,-0.00,-0.01
3044.00,-0.04,-0.00,-0.01
3055.00,-0.04,-0.00,-0.01
